0 8.252 53.48 0.317 150
1 7.348 42.41 1.40 120
2 6.544 33.63 1.50 96
3 5.827 26.67 1.63 78
4 5.189 21.15 0.80 60
5 4.621 16.77 1.01 48
6 4.115 13.30 1.27 38
7 3.665 10.55 1.70 30
8 3.264 8.36 2.03 24
9 2.906 6.63 2.56 19
10 2.588 5.26 3.23 15
11 2.305 4.17 4.07 12
12 2.053 3.31 5.13 9.5
13 1.828 2.63 6.49 7.5
14 1.628 2.08 8.17 6.0
15 1.450 1.65 10.3 4.8
16 1.291 1.31 12.9 3.7
17 1.150 1.04 16.34 3.2
18 1.024 0.82 20.73 2.5
19 0.9116 0.65 26.15 2.0
20 0.8118 0.52 32.69 1.6
21 0.7230 0.41 41.46 1.2
22 0.6438 0.33 51.5 0.92
23 0.5733 0.26 56.4 0.73
24 0.5106 0.20 85.0 0.58
25 0.4547 0.16 106.2 0.46
26 0.4049 0.13 130.7 0.37
27 0.3606 0.10 170.0 0.29
28 0.3211 0.08 212.5 0.23
29 0.2859 0.064 265.6 0.18
30 0.2546 0.051 333.3 0.15
31 0.2268 0.040 425.0 0.11
32 0.2019 0.032 531.2 0.09
33 0.1798 0.0254 669.3 0.072
34 0.1601 0.0201 845.8 0.057
35 0.1426 0.0159 1069.0 0.045
36 0.1270 0.0127 1338.0 0.036
37 0.1131 00100 1700.0 0.028
38 0.1007 0.0079 2152.0 0.022
39 0.0897 0.0063 2696.0 0.017
40 0.0799 0.0050 3400.0 0.014
41 00711 0.0040 4250.0 0.011
42 0.0633 0.0032 5312.0 0.009
43 0.0564 0.0025 6800.0 0.007
44 0.0503 0.0020 8500.0 0.005
